Age,Workclass,Final Weight,Education,Education Number of Years,Marital-status,Occupation,Relationship,Race,Sex,Capital-gain,Capital-loss,Hours-per-week,Native-country,Age_original,Income,Race_Sex_combined,Age_Sex_combined
Midlife,Private,109015,HS-grad,9,Divorced,Tech-support,Unmarried,White,Female,0,0,40,United-States,59,<=50K,White_Female,Midlife_Female
Midlife,Local-gov,216851,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,56,>50K,White_Male,Midlife_Male
Youth,Private,168294,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,19,<=50K,White_Male,Youth_Male
Midlife,?,180211,Some-college,10,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,0,0,60,South,54,>50K,Asian-Pac-Islander_Male,Midlife_Male
Early Adulthood,Private,367260,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,80,United-States,39,<=50K,White_Male,Early Adulthood_Male
Midlife,Private,193366,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,49,<=50K,White_Male,Midlife_Male
Youth,Local-gov,190709,Assoc-acdm,12,Never-married,Protective-serv,Not-in-family,White,Male,0,0,52,United-States,23,<=50K,White_Male,Youth_Male
Youth,Private,266015,Some-college,10,Never-married,Sales,Own-child,Black,Male,0,0,44,United-States,20,<=50K,Black_Male,Youth_Male
Midlife,Private,386940,Bachelors,13,Divorced,Exec-managerial,Own-child,White,Male,0,1408,40,United-States,45,<=50K,White_Male,Midlife_Male
Early Adulthood,Federal-gov,59951,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,40,United-States,30,<=50K,White_Male,Early Adulthood_Male
Youth,State-gov,311512,Some-college,10,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,15,United-States,22,<=50K,Black_Male,Youth_Male
Midlife,Private,242406,11th,7,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,Puerto-Rico,48,<=50K,White_Male,Midlife_Male
Youth,Private,197200,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,21,<=50K,White_Male,Youth_Male
Youth,Private,544091,HS-grad,9,Married-AF-spouse,Adm-clerical,Wife,White,Female,0,0,25,United-States,19,<=50K,White_Female,Youth_Female
Early Adulthood,Private,84154,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,38,?,31,>50K,White_Male,Early Adulthood_Male
Midlife,Self-emp-not-inc,265477,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,48,<=50K,White_Male,Midlife_Male
Early Adulthood,Private,507875,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,43,United-States,31,<=50K,White_Male,Early Adulthood_Male
Midlife,Self-emp-not-inc,88506,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,53,<=50K,White_Male,Midlife_Male
Youth,Private,172987,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,24,<=50K,White_Male,Youth_Male
Midlife,Private,94638,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,49,<=50K,White_Female,Midlife_Female
Youth,Private,289980,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,35,United-States,25,<=50K,White_Male,Youth_Male
Midlife,Federal-gov,337895,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,United-States,57,>50K,Black_Male,Midlife_Male
Midlife,Private,144361,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,38,United-States,53,<=50K,White_Male,Midlife_Male
Midlife,Private,128354,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,44,<=50K,White_Female,Midlife_Female
Midlife,State-gov,101603,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,41,<=50K,White_Male,Midlife_Male
Early Adulthood,Private,271466,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,43,United-States,29,<=50K,White_Male,Early Adulthood_Male
Youth,Private,32275,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Other,Female,0,0,40,United-States,25,<=50K,Other_Female,Youth_Female
Youth,Private,226956,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,30,?,18,<=50K,White_Female,Youth_Female
Midlife,Private,51835,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1902,60,Honduras,47,>50K,White_Female,Midlife_Female
Midlife,Federal-gov,251585,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,55,United-States,50,>50K,White_Male,Midlife_Male
Midlife,Self-emp-inc,109832,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States,47,<=50K,White_Male,Midlife_Male
Midlife,Private,237993,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,43,>50K,White_Male,Midlife_Male
Midlife,Private,216666,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,46,<=50K,White_Male,Midlife_Male
Early Adulthood,Private,56352,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Puerto-Rico,35,<=50K,White_Male,Early Adulthood_Male
Midlife,Private,147372,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,48,United-States,41,<=50K,White_Male,Midlife_Male
Early Adulthood,Private,188146,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,5013,0,40,United-States,30,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,59496,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,2407,0,40,United-States,30,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,?,293936,7th-8th,4,Married-spouse-absent,?,Not-in-family,White,Male,0,0,40,?,32,<=50K,White_Male,Early Adulthood_Male
Midlife,Private,149640,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,48,<=50K,White_Male,Midlife_Male
Midlife,Private,116632,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,42,>50K,White_Male,Midlife_Male
Early Adulthood,Private,105598,Some-college,10,Divorced,Tech-support,Not-in-family,White,Male,0,0,58,United-States,29,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,155537,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,36,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,183175,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,28,<=50K,White_Female,Early Adulthood_Female
Midlife,Private,169846,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,53,>50K,White_Female,Midlife_Female
Midlife,Self-emp-inc,191681,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,49,>50K,White_Male,Midlife_Male
Youth,?,200681,Some-college,10,Never-married,?,Own-child,White,Male,0,0,40,United-States,25,<=50K,White_Male,Youth_Male
Youth,Private,101509,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,32,United-States,19,<=50K,White_Male,Youth_Male
Early Adulthood,Private,309974,Bachelors,13,Separated,Sales,Own-child,Black,Female,0,0,40,United-States,31,<=50K,Black_Female,Early Adulthood_Female
Early Adulthood,Self-emp-not-inc,162298,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,70,United-States,29,>50K,White_Male,Early Adulthood_Male
Youth,Private,211678,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,23,<=50K,White_Male,Youth_Male
Elderly,Private,124744,Some-college,10,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,0,0,20,United-States,79,<=50K,White_Male,Elderly_Male
Early Adulthood,Private,213921,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,40,Mexico,27,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,32214,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,40,<=50K,White_Male,Early Adulthood_Male
Elderly,?,212759,10th,6,Married-civ-spouse,?,Husband,White,Male,0,0,2,United-States,67,<=50K,White_Male,Elderly_Male
Youth,Private,309634,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,22,United-States,18,<=50K,White_Female,Youth_Female
Early Adulthood,Local-gov,125927,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,31,<=50K,White_Male,Early Adulthood_Male
Youth,Private,446839,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,30,United-States,18,<=50K,White_Male,Youth_Male
Midlife,Private,276515,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Cuba,52,<=50K,White_Male,Midlife_Male
Midlife,Private,51618,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,46,<=50K,White_Female,Midlife_Female
Midlife,Private,159937,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,59,<=50K,White_Male,Midlife_Male
Midlife,Private,343591,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,14344,0,40,United-States,44,>50K,White_Female,Midlife_Female
Midlife,Private,346253,HS-grad,9,Divorced,Sales,Own-child,White,Female,0,0,35,United-States,53,<=50K,White_Female,Midlife_Female
Midlife,Local-gov,268234,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,49,>50K,White_Male,Midlife_Male
Early Adulthood,Private,202051,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,33,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,54334,9th,5,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,30,<=50K,White_Male,Early Adulthood_Male
Midlife,Federal-gov,410867,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,43,>50K,White_Female,Midlife_Female
Midlife,Private,249977,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,57,<=50K,White_Male,Midlife_Male
Early Adulthood,Private,286730,Some-college,10,Divorced,Craft-repair,Unmarried,White,Female,0,0,40,United-States,37,<=50K,White_Female,Early Adulthood_Female
Early Adulthood,Private,212563,Some-college,10,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,25,United-States,28,<=50K,Black_Female,Early Adulthood_Female
Early Adulthood,Private,117747,HS-grad,9,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,0,1573,35,?,30,<=50K,Asian-Pac-Islander_Female,Early Adulthood_Female
Early Adulthood,Local-gov,226296,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,34,>50K,White_Male,Early Adulthood_Male
Early Adulthood,Local-gov,115585,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,50,United-States,29,<=50K,White_Male,Early Adulthood_Male
Midlife,Self-emp-not-inc,191277,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,60,United-States,48,>50K,White_Male,Midlife_Male
Early Adulthood,Private,202683,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,37,>50K,White_Male,Early Adulthood_Male
Midlife,Private,171095,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,England,48,<=50K,White_Female,Midlife_Female
Early Adulthood,Federal-gov,249409,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,0,0,40,United-States,32,<=50K,Black_Male,Early Adulthood_Male
Elderly,Private,124191,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,76,>50K,White_Male,Elderly_Male
Midlife,Private,198282,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,60,United-States,44,>50K,White_Male,Midlife_Male
Midlife,Self-emp-not-inc,149116,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,47,<=50K,White_Female,Midlife_Female
Youth,Private,188300,Some-college,10,Never-married,Tech-support,Own-child,White,Female,0,0,40,United-States,20,<=50K,White_Female,Youth_Female
Early Adulthood,Private,103432,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,29,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Self-emp-inc,317660,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7688,0,40,United-States,32,>50K,White_Male,Early Adulthood_Male
Youth,?,304873,10th,6,Never-married,?,Own-child,White,Female,34095,0,32,United-States,17,<=50K,White_Female,Youth_Female
Early Adulthood,Private,194901,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,30,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Local-gov,189265,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,31,<=50K,White_Female,Early Adulthood_Female
Midlife,Private,124692,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,42,<=50K,White_Male,Midlife_Male
Youth,Private,432376,Bachelors,13,Never-married,Sales,Other-relative,White,Male,0,0,40,United-States,24,<=50K,White_Male,Youth_Male
Early Adulthood,Private,65324,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,38,>50K,White_Male,Early Adulthood_Male
Midlife,Self-emp-not-inc,335605,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,1887,50,Canada,56,>50K,White_Male,Midlife_Male
Early Adulthood,Private,377869,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,4064,0,25,United-States,28,<=50K,White_Female,Early Adulthood_Female
Early Adulthood,Private,102864,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,36,<=50K,White_Female,Early Adulthood_Female
Midlife,Private,95647,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,50,United-States,53,<=50K,White_Male,Midlife_Male
Midlife,Self-emp-inc,303090,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,56,<=50K,White_Male,Midlife_Male
Midlife,Local-gov,197371,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,49,>50K,Black_Male,Midlife_Male
Midlife,Private,247552,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,56,United-States,55,<=50K,White_Male,Midlife_Male
Youth,Private,102632,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,41,United-States,22,<=50K,White_Male,Youth_Male
Youth,Private,199915,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,21,<=50K,White_Female,Youth_Female
Early Adulthood,Private,118853,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,40,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,77143,Bachelors,13,Never-married,Exec-managerial,Own-child,Black,Male,0,0,40,Germany,30,<=50K,Black_Male,Early Adulthood_Male
Early Adulthood,State-gov,267989,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,29,>50K,White_Male,Early Adulthood_Male
Youth,Private,301606,Some-college,10,Never-married,Other-service,Own-child,Black,Male,0,0,35,United-States,19,<=50K,Black_Male,Youth_Male
Midlife,Private,287828,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,47,>50K,White_Female,Midlife_Female
Youth,Private,111697,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,1719,28,United-States,20,<=50K,White_Female,Youth_Female
Early Adulthood,Private,114937,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,31,>50K,White_Male,Early Adulthood_Male
Early Adulthood,?,129305,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,35,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,365739,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,39,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,69621,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Female,0,0,60,United-States,28,<=50K,White_Female,Early Adulthood_Female
Youth,Private,43323,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,1762,40,United-States,24,<=50K,White_Female,Youth_Female
Early Adulthood,Self-emp-not-inc,120985,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,4386,0,35,United-States,38,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,254202,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,37,<=50K,White_Male,Early Adulthood_Male
Midlife,Private,146195,Assoc-acdm,12,Divorced,Tech-support,Not-in-family,Black,Female,0,0,36,United-States,46,<=50K,Black_Female,Midlife_Female
Early Adulthood,Federal-gov,125933,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Iran,38,>50K,White_Male,Early Adulthood_Male
Midlife,Self-emp-not-inc,56920,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,43,<=50K,White_Male,Midlife_Male
Early Adulthood,Private,163127,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,27,<=50K,White_Female,Early Adulthood_Female
Youth,Private,34310,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,20,United-States,20,<=50K,White_Male,Youth_Male
Midlife,Private,81973,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,49,>50K,Asian-Pac-Islander_Male,Midlife_Male
Elderly,Self-emp-inc,66614,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,61,<=50K,White_Male,Elderly_Male
Early Adulthood,Private,232782,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,27,<=50K,White_Female,Early Adulthood_Female
Youth,Private,316868,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,30,Mexico,19,<=50K,White_Male,Youth_Male
Midlife,Private,196584,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Female,0,1564,40,United-States,45,>50K,White_Female,Midlife_Female
Elderly,Private,105376,Some-college,10,Never-married,Tech-support,Other-relative,White,Male,0,0,40,United-States,70,<=50K,White_Male,Elderly_Male
Early Adulthood,Private,185814,HS-grad,9,Never-married,Transport-moving,Unmarried,Black,Female,0,0,30,United-States,31,<=50K,Black_Female,Early Adulthood_Female
Youth,Private,175374,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,24,United-States,22,<=50K,White_Male,Youth_Male
Early Adulthood,Private,108293,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,0,0,24,United-States,36,<=50K,White_Female,Early Adulthood_Female
Elderly,Private,181232,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2179,40,United-States,64,<=50K,White_Male,Elderly_Male
Midlife,?,174662,Some-college,10,Divorced,?,Not-in-family,White,Female,0,0,40,United-States,43,<=50K,White_Female,Midlife_Female
Midlife,Local-gov,186009,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,38,Mexico,47,<=50K,White_Female,Midlife_Female
Early Adulthood,Private,198183,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,34,<=50K,White_Female,Early Adulthood_Female
Early Adulthood,Private,163003,Bachelors,13,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0,0,40,Philippines,33,<=50K,Asian-Pac-Islander_Female,Early Adulthood_Female
Youth,Private,296158,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,35,United-States,21,<=50K,White_Male,Youth_Male
Midlife,?,252903,HS-grad,9,Divorced,?,Not-in-family,White,Male,0,0,45,United-States,52,>50K,White_Male,Midlife_Male
Midlife,Private,187715,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,46,United-States,48,<=50K,White_Male,Midlife_Male
Youth,Private,214542,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,23,<=50K,White_Male,Youth_Male
Elderly,Self-emp-not-inc,494223,Some-college,10,Separated,Sales,Unmarried,Black,Male,0,1816,2,United-States,71,<=50K,Black_Male,Elderly_Male
Early Adulthood,Private,191535,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60,United-States,29,<=50K,White_Male,Early Adulthood_Male
Midlife,Private,228456,Bachelors,13,Separated,Other-service,Other-relative,Black,Male,0,0,50,United-States,42,<=50K,Black_Male,Midlife_Male
Elderly,?,38317,1st-4th,2,Divorced,?,Not-in-family,White,Female,0,0,20,United-States,68,<=50K,White_Female,Elderly_Female
Youth,Private,252752,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,40,United-States,25,<=50K,White_Female,Youth_Female
Midlife,Self-emp-inc,78374,Masters,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,40,United-States,44,<=50K,Asian-Pac-Islander_Female,Midlife_Female
Early Adulthood,Private,88419,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,40,England,28,<=50K,Asian-Pac-Islander_Female,Early Adulthood_Female
Midlife,Self-emp-not-inc,201080,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,45,>50K,White_Male,Midlife_Male
Early Adulthood,Private,207157,Some-college,10,Divorced,Other-service,Unmarried,White,Female,0,0,40,Mexico,36,<=50K,White_Female,Early Adulthood_Female
Early Adulthood,Federal-gov,235485,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,42,United-States,39,<=50K,White_Male,Early Adulthood_Male
Midlife,State-gov,102628,Masters,14,Widowed,Protective-serv,Unmarried,White,Male,0,0,40,United-States,46,<=50K,White_Male,Midlife_Male
Youth,Private,25828,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,16,United-States,18,<=50K,White_Male,Youth_Male
Elderly,Local-gov,54826,Assoc-voc,11,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,20,United-States,66,<=50K,White_Female,Elderly_Female
Early Adulthood,Private,124953,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,1980,40,United-States,27,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,State-gov,175325,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,28,<=50K,White_Male,Early Adulthood_Male
Midlife,Private,96062,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,1977,40,United-States,51,>50K,White_Male,Midlife_Male
Early Adulthood,Private,428030,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,27,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,State-gov,149624,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,28,>50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,253814,HS-grad,9,Married-spouse-absent,Sales,Unmarried,White,Female,0,0,25,United-States,27,<=50K,White_Female,Early Adulthood_Female
Youth,Private,312956,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,0,0,40,United-States,21,<=50K,Black_Male,Youth_Male
